Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,user_message,bot_message,user_session,Spreadsheet: display,Manipulation: Spreadsheet
1,1736433621293,09/01/2025 14:40:21,1736433621293,0,09/01/2025 14:40:21,0,0,,,42366745,,12366229,,live,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,2048x1112,1008x980,,,0,React App Lucy testing Anna,3,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,
2,1736433624982,09/01/2025 14:40:24,1736433624982,0,09/01/2025 14:40:24,0,0,,,42366745,,12366229,,live,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,2048x1112,1008x980,,,0,React App Lucy testing Anna,3,Spreadsheet1,Spreadsheet1,,,,,,,,,,,,,,0,,,,,,,,,,,,,
3,1736433625088,09/01/2025 14:40:25,1736433625088,0,09/01/2025 14:40:25,0,0,,,42366745,,12366229,,live,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,2048x1112,1008x980,,,0,React App Lucy testing Anna,3,Spreadsheet1,Spreadsheet1,,,,,,,,,,,,,,0,,,,,,,,,,,dfMessenger-d38fe06f-7cf7-4a58-97f4-2cd485c0767b,,
4,1736433625143,09/01/2025 14:40:25,1736433625143,0,09/01/2025 14:40:25,0,0,,,42366745,,12366229,,live,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,2048x1112,1008x980,,,0,React App Lucy testing Anna,3,Spreadsheet1,Spreadsheet1,,,,,,,,,,,,,,0,,,,,,,,,,,dfMessenger-32cedf40-3608-4789-95e9-e85456977615,,
5,1736433625258,09/01/2025 14:40:25,1736433625258,0,09/01/2025 14:40:25,0,0,,,42366745,,12366229,,live,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,2048x1112,1008x980,,,0,React App Lucy testing Anna,3,Spreadsheet1,Spreadsheet1,,,,,,,,,,,,,,0,,,,,,,,,8,,,,
6,1736433627867,09/01/2025 14:40:27,1736433627867,0,09/01/2025 14:40:27,0,0,,,42366745,,12366229,,live,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,2048x1112,1008x980,,,0,React App Lucy testing Anna,3,Spreadsheet1,Spreadsheet1,,,,,,,,,,,,,,0,,,,,,,,,,"Hi Anna,

My name is Penny, and I'm your AI financial companion from Lloyds Bank.  We noticed you have a significant amount of cash in your account, and I wanted to reach out and see if you'd be open to exploring some options to help your money grow.

It's great that you've saved so diligently!  Many people find it hard to save, so well done.  To help your savings work harder for you, we could look at things like ISAs, different savings accounts, or even investment options available through Lloyds.  Would you like to explore these possibilities together?  There's no pressure at all, but I'm here to help you understand your options.
",,,
7,1736433656368,09/01/2025 14:40:56,1736433656368,0,09/01/2025 14:40:56,0,0,,,42366745,,12366229,,live,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,2048x1112,1008x980,,,0,React App Lucy testing Anna,3,Spreadsheet1,Spreadsheet1,,,,,,,,,,,,,,0,,,,,,,,,"Sure, let's explore ISAs and investment options.",,,,
8,1736433658185,09/01/2025 14:40:58,1736433658185,0,09/01/2025 14:40:58,0,0,,,42366745,,12366229,,live,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,2048x1112,1008x980,,,0,React App Lucy testing Anna,3,Spreadsheet1,Spreadsheet1,,,,,,,,,,,,,,0,,,,,,,,,,"Okay, let's explore ISAs and investment options.  ISAs, or Individual Savings Accounts, offer tax advantages on your savings.  There are different types, like Cash ISAs, which offer a simple way to earn interest on your savings tax-free, and Stocks and Shares ISAs, which allow you to invest in a wider range of assets, potentially offering higher returns but also carrying more risk.  Investment options through Lloyds can include things like funds, which pool money from multiple investors to invest in a diversified portfolio of assets.  This can help spread risk.  Would you like to learn more about Cash ISAs or Stocks and Shares ISAs first?
",,,
9,1736433690645,09/01/2025 14:41:30,1736433690645,0,09/01/2025 14:41:30,0,0,,,42366745,,12366229,,live,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,2048x1112,1008x980,,,0,React App Lucy testing Anna,3,Spreadsheet1,Spreadsheet1,,,,,,,,,,,,,,0,,,,,,,,,Let's start with Cash ISAs.,,,,
10,1736433695993,09/01/2025 14:41:35,1736433695993,0,09/01/2025 14:41:35,0,0,,,42366745,,12366229,,live,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,2048x1112,1008x980,,,0,React App Lucy testing Anna,3,Spreadsheet1,Spreadsheet1,,,,,,,,,,,,,,0,,,,,,,,,,"Let's start with Cash ISAs. Cash ISAs are a type of savings account that allows you to earn tax-free interest on your savings. You can choose to have easy access to your money and withdraw free of charge. The rate you receive on this account will be variable. You can also decide to lock your money away for a fixed period, which may help you get a higher fixed interest rate. However, you may be charged for any early withdrawal.  Would you like me to share a link to learn more about Cash ISAs on the Lloyds Bank website?
",,,
